"","word","sentiment","n"
"1","trump","positive",60
"2","virus","negative",49
"3","free","positive",27
"4","death","negative",26
"5","freedom","positive",26
"6","strict","negative",25
"7","fuck","negative",20
"8","hard","negative",20
"9","shit","negative",19
"10","die","negative",17
"11","fucking","negative",15
"12","bad","negative",14
"13","worst","negative",14
"14","safe","positive",13
"15","died","negative",12
"16","killed","negative",12
"17","stupid","negative",12
"18","love","positive",11
"19","protest","negative",11
"20","lost","negative",10
"21","murder","negative",9
"22","protests","negative",9
"23","worse","negative",9
"24","amazing","positive",8
"25","happy","positive",8
"26","crazy","negative",7
"27","dead","negative",7
"28","deadly","negative",7
"29","dying","negative",7
"30","fear","negative",7
"31","funny","negative",7
"32","impossible","negative",7
"33","poor","negative",7
"34","pretty","positive",7
"35","proper","positive",7
"36","properly","positive",7
"37","racism","negative",7
"38","stuck","negative",7
"39","support","positive",7
"40","violent","negative",7
"41","weird","negative",7
"42","crisis","negative",6
"43","effective","positive",6
"44","fast","positive",6
"45","hell","negative",6
"46","issue","negative",6
"47","led","positive",6
"48","miss","negative",6
"49","nice","positive",6
"50","selfish","negative",6
"51","sick","negative",6
"52","strain","negative",6
"53","win","positive",6
"54","wrong","negative",6
"55","bankrupt","negative",5
"56","doubt","negative",5
"57","draconian","negative",5
"58","dumb","negative",5
"59","evil","negative",5
"60","fault","negative",5
"61","fine","positive",5
"62","fraud","negative",5
"63","glad","positive",5
"64","hate","negative",5
"65","kill","negative",5
"66","lack","negative",5
"67","luck","positive",5
"68","protect","positive",5
"69","relief","positive",5
"70","scared","negative",5
"71","struggling","negative",5
"72","sucks","negative",5
"73","top","positive",5
"74","awful","negative",4
"75","breaking","negative",4
"76","decline","negative",4
"77","destroy","negative",4
"78","divisive","negative",4
"79","emergency","negative",4
"80","fair","positive",4
"81","helping","positive",4
"82","impose","negative",4
"83","ineffective","negative",4
"84","infection","negative",4
"85","isolation","negative",4
"86","limited","negative",4
"87","marvel","positive",4
"88","ready","positive",4
"89","rich","positive",4
"90","slow","negative",4
"91","super","positive",4
"92","threat","negative",4
"93","tired","negative",4
"94","trust","positive",4
"95","unity","positive",4
"96","wise","positive",4
"97","attack","negative",3
"98","authoritarian","negative",3
"99","benefits","positive",3
"100","blame","negative",3
"101","bless","positive",3
"102","break","negative",3
"103","cheat","negative",3
"104","cold","negative",3
"105","collapse","negative",3
"106","confused","negative",3
"107","conservative","negative",3
"108","correct","positive",3
"109","correctly","positive",3
"110","corrupt","negative",3
"111","crack","negative",3
"112","damn","negative",3
"113","damned","negative",3
"114","epidemic","negative",3
"115","failed","negative",3
"116","failing","negative",3
"117","fall","negative",3
"118","fun","positive",3
"119","harmful","negative",3
"120","idiots","negative",3
"121","illegal","negative",3
"122","incredibly","positive",3
"123","inspiration","positive",3
"124","inspiring","positive",3
"125","insurrection","negative",3
"126","killing","negative",3
"127","laughable","negative",3
"128","loser","negative",3
"129","loved","positive",3
"130","lucky","positive",3
"131","mess","negative",3
"132","messed","negative",3
"133","outbreak","negative",3
"134","perfect","positive",3
"135","recovery","positive",3
"136","refuse","negative",3
"137","refused","negative",3
"138","ridiculous","negative",3
"139","ruin","negative",3
"140","sad","negative",3
"141","secure","positive",3
"142","shocked","negative",3
"143","stress","negative",3
"144","supreme","positive",3
"145","toll","negative",3
"146","tougher","positive",3
"147","violate","negative",3
"148","violation","negative",3
"149","weak","negative",3
"150","winning","positive",3
"151","wins","positive",3
"152","worn","negative",3
"153","worth","positive",3
"154","abuse","negative",2
"155","afford","positive",2
"156","afraid","negative",2
"157","alarm","negative",2
"158","anxiety","negative",2
"159","applaud","positive",2
"160","assure","positive",2
"161","audacity","negative",2
"162","benefit","positive",2
"163","blind","negative",2
"164","broken","negative",2
"165","buckle","negative",2
"166","bullshit","negative",2
"167","carnage","negative",2
"168","celebrate","positive",2
"169","comfortable","positive",2
"170","compassion","positive",2
"171","concerned","negative",2
"172","contagious","negative",2
"173","crap","negative",2
"174","crime","negative",2
"175","criminal","negative",2
"176","critical","negative",2
"177","criticized","negative",2
"178","crumbling","negative",2
"179","debt","negative",2
"180","defeated","positive",2
"181","delusional","negative",2
"182","depression","negative",2
"183","difficult","negative",2
"184","disabled","negative",2
"185","eased","positive",2
"186","easier","positive",2
"187","easing","positive",2
"188","easy","positive",2
"189","elite","positive",2
"190","embarrassing","negative",2
"191","excuse","negative",2
"192","exhausted","negative",2
"193","famine","negative",2
"194","fancy","positive",2
"195","fascinating","positive",2
"196","fascist","negative",2
"197","favour","positive",2
"198","fool","negative",2
"199","freedoms","positive",2
"200","fresh","positive",2
"201","frightening","negative",2
"202","frustrating","negative",2
"203","gain","positive",2
"204","genuine","positive",2
"205","harassed","negative",2
"206","harm","negative",2
"207","harsh","negative",2
"208","heal","positive",2
"209","healthy","positive",2
"210","helped","positive",2
"211","helpful","positive",2
"212","hoax","negative",2
"213","horrible","negative",2
"214","hot","positive",2
"215","hurt","negative",2
"216","hysteria","negative",2
"217","inaccurate","negative",2
"218","injustice","negative",2
"219","innovation","positive",2
"220","insane","negative",2
"221","intelligence","positive",2
"222","intense","negative",2
"223","joy","positive",2
"224","leads","positive",2
"225","loss","negative",2
"226","loves","positive",2
"227","loving","positive",2
"228","lying","negative",2
"229","mad","negative",2
"230","missed","negative",2
"231","mistake","negative",2
"232","panic","negative",2
"233","pardon","positive",2
"234","partisan","negative",2
"235","peace","positive",2
"236","plot","negative",2
"237","positive","positive",2
"238","poverty","negative",2
"239","pretend","negative",2
"240","promised","positive",2
"241","protection","positive",2
"242","proven","positive",2
"243","racist","negative",2
"244","realistic","positive",2
"245","refusal","negative",2
"246","restrict","negative",2
"247","risk","negative",2
"248","ruins","negative",2
"249","sadly","negative",2
"250","sceptical","negative",2
"251","screwed","negative",2
"252","severe","negative",2
"253","shambles","negative",2
"254","significant","positive",2
"255","silent","positive",2
"256","slowly","negative",2
"257","soft","positive",2
"258","steady","positive",2
"259","steal","negative",2
"260","strange","negative",2
"261","strong","positive",2
"262","successful","positive",2
"263","suffer","negative",2
"264","suffering","negative",2
"265","supported","positive",2
"266","survival","positive",2
"267","sweet","positive",2
"268","tanked","negative",2
"269","threatening","negative",2
"270","threats","negative",2
"271","tough","positive",2
"272","touted","negative",2
"273","trash","negative",2
"274","twist","negative",2
"275","tyranny","negative",2
"276","unbelievable","negative",2
"277","unconstitutional","negative",2
"278","undermined","negative",2
"279","unnecessary","negative",2
"280","unrest","negative",2
"281","vice","negative",2
"282","wonderful","positive",2
"283","wonders","positive",2
"284","absurd","negative",1
"285","abusive","negative",1
"286","accomplish","positive",1
"287","achievement","positive",1
"288","aching","negative",1
"289","adamant","negative",1
"290","advantage","positive",1
"291","advocated","positive",1
"292","advocates","positive",1
"293","amazed","positive",1
"294","ample","positive",1
"295","anger","negative",1
"296","angry","negative",1
"297","annoyed","negative",1
"298","annoying","negative",1
"299","anxious","negative",1
"300","arbitrary","negative",1
"301","ashamed","negative",1
"302","asinine","negative",1
"303","astonished","positive",1
"304","atrocities","negative",1
"305","audible","positive",1
"306","aversion","negative",1
"307","awesome","positive",1
"308","badly","negative",1
"309","baseless","negative",1
"310","bash","negative",1
"311","bastards","negative",1
"312","beautiful","positive",1
"313","beauty","positive",1
"314","beloved","positive",1
"315","bitch","negative",1
"316","bland","negative",1
"317","blatant","negative",1
"318","bleeds","negative",1
"319","bloated","negative",1
"320","bloody","negative",1
"321","boiling","negative",1
"322","bomb","negative",1
"323","booming","positive",1
"324","boost","positive",1
"325","bore","negative",1
"326","bothering","negative",1
"327","breakthrough","positive",1
"328","brilliant","positive",1
"329","brutal","negative",1
"330","bs","negative",1
"331","bully","negative",1
"332","bump","negative",1
"333","burn","negative",1
"334","burned","negative",1
"335","bust","negative",1
"336","capable","positive",1
"337","catastrophic","negative",1
"338","celebration","positive",1
"339","chaos","negative",1
"340","cheap","negative",1
"341","clash","negative",1
"342","clean","positive",1
"343","cleaner","positive",1
"344","clueless","negative",1
"345","competitive","positive",1
"346","complaining","negative",1
"347","complex","negative",1
"348","comprehensive","positive",1
"349","concern","negative",1
"350","concerns","negative",1
"351","concise","positive",1
"352","condemn","negative",1
"353","congratulations","positive",1
"354","consistent","positive",1
"355","conspiracy","negative",1
"356","conveniently","positive",1
"357","counterproductive","negative",1
"358","cracked","negative",1
"359","crash","negative",1
"360","crashes","negative",1
"361","craziness","negative",1
"362","creeping","negative",1
"363","cripple","negative",1
"364","criticize","negative",1
"365","criticizing","negative",1
"366","crowded","negative",1
"367","crush","negative",1
"368","crushed","negative",1
"369","cry","negative",1
"370","cure","positive",1
"371","cute","positive",1
"372","cynical","negative",1
"373","damage","negative",1
"374","damaging","negative",1
"375","dangerous","negative",1
"376","deaf","negative",1
"377","debacle","negative",1
"378","decent","positive",1
"379","defeat","positive",1
"380","deficient","negative",1
"381","defy","negative",1
"382","demolish","negative",1
"383","demon","negative",1
"384","demonized","negative",1
"385","dent","negative",1
"386","deny","negative",1
"387","denying","negative",1
"388","despotism","negative",1
"389","destroyer","negative",1
"390","destruction","negative",1
"391","dictator","negative",1
"392","dirty","negative",1
"393","disadvantage","negative",1
"394","disagree","negative",1
"395","disappointing","negative",1
"396","disappointments","negative",1
"397","disaster","negative",1
"398","disgraced","negative",1
"399","disgruntled","negative",1
"400","disgusting","negative",1
"401","disobey","negative",1
"402","disrespect","negative",1
"403","dissonance","negative",1
"404","distract","negative",1
"405","disturbed","negative",1
"406","downturn","negative",1
"407","drawbacks","negative",1
"408","drought","negative",1
"409","ease","positive",1
"410","eases","positive",1
"411","elimination","negative",1
"412","empathy","positive",1
"413","encourage","positive",1
"414","encouraging","positive",1
"415","enhanced","positive",1
"416","enjoy","positive",1
"417","enjoyed","positive",1
"418","enjoying","positive",1
"419","enslave","negative",1
"420","enthusiasm","positive",1
"421","envy","positive",1
"422","excited","positive",1
"423","excruciating","negative",1
"424","expropriation","negative",1
"425","fails","negative",1
"426","failure","negative",1
"427","fairness","positive",1
"428","fake","negative",1
"429","fallout","negative",1
"430","fans","positive",1
"431","farce","negative",1
"432","fat","negative",1
"433","fatigue","negative",1
"434","favorite","positive",1
"435","fearful","negative",1
"436","flagrantly","negative",1
"437","fleeing","negative",1
"438","flees","negative",1
"439","floored","negative",1
"440","foolish","negative",1
"441","froze","negative",1
"442","gained","positive",1
"443","gaining","positive",1
"444","ghetto","negative",1
"445","giddy","negative",1
"446","gold","positive",1
"447","gorgeous","positive",1
"448","gossip","negative",1
"449","grace","positive",1
"450","grand","positive",1
"451","greedy","negative",1
"452","grim","negative",1
"453","gross","negative",1
"454","guarantee","positive",1
"455","hail","positive",1
"456","hated","negative",1
"457","hatred","negative",1
"458","heaven","positive",1
"459","heck","negative",1
"460","hedge","negative",1
"461","hero","positive",1
"462","hesitant","negative",1
"463","holy","positive",1
"464","honest","positive",1
"465","hopeful","positive",1
"466","horde","negative",1
"467","horrendous","negative",1
"468","hostility","negative",1
"469","humiliate","negative",1
"470","hurts","negative",1
"471","hypocrisy","negative",1
"472","hypocrites","negative",1
"473","idiocy","negative",1
"474","ignorant","negative",1
"475","ignore","negative",1
"476","illegally","negative",1
"477","imposing","negative",1
"478","imprison","negative",1
"479","imprisonment","negative",1
"480","improve","positive",1
"481","improvement","positive",1
"482","improving","positive",1
"483","incorrect","negative",1
"484","incredible","positive",1
"485","ineffectual","negative",1
"486","inequalities","negative",1
"487","inequality","negative",1
"488","inevitable","negative",1
"489","infamous","negative",1
"490","infected","negative",1
"491","inflict","negative",1
"492","insanely","negative",1
"493","insecurity","negative",1
"494","insidious","negative",1
"495","inspirational","positive",1
"496","invisible","negative",1
"497","irate","negative",1
"498","irony","negative",1
"499","irresponsible","negative",1
"500","isolate","negative",1
"501","isolated","negative",1
"502","issues","negative",1
"503","jealous","negative",1
"504","joke","negative",1
"505","kills","negative",1
"506","lawful","positive",1
"507","lead","positive",1
"508","liar","negative",1
"509","liberation","positive",1
"510","lie","negative",1
"511","lied","negative",1
"512","likes","positive",1
"513","limits","negative",1
"514","livid","negative",1
"515","lone","negative",1
"516","lonely","negative",1
"517","loose","negative",1
"518","loot","negative",1
"519","lose","negative",1
"520","loses","negative",1
"521","losing","negative",1
"522","losses","negative",1
"523","lovely","positive",1
"524","ludicrous","negative",1
"525","lunatic","negative",1
"526","maddening","negative",1
"527","madness","negative",1
"528","mania","negative",1
"529","mature","positive",1
"530","miracles","positive",1
"531","miserable","negative",1
"532","misery","negative",1
"533","mock","negative",1
"534","modern","positive",1
"535","monster","negative",1
"536","moron","negative",1
"537","morons","negative",1
"538","mysterious","negative",1
"539","mysteriously","negative",1
"540","naive","negative",1
"541","negate","negative",1
"542","negatives","negative",1
"543","negligent","negative",1
"544","nervous","negative",1
"545","noise","negative",1
"546","nonsense","negative",1
"547","notoriety","negative",1
"548","notorious","negative",1
"549","openly","positive",1
"550","optimism","positive",1
"551","overreach","negative",1
"552","overrun","negative",1
"553","overthrow","negative",1
"554","overwhelmed","negative",1
"555","pain","negative",1
"556","painful","negative",1
"557","paranoia","negative",1
"558","parasite","negative",1
"559","parody","negative",1
"560","pathetic","negative",1
"561","penalty","negative",1
"562","persecution","negative",1
"563","pimple","negative",1
"564","plague","negative",1
"565","pleasant","positive",1
"566","plunder","negative",1
"567","poorest","negative",1
"568","popular","positive",1
"569","powerful","positive",1
"570","prefer","positive",1
"571","pride","positive",1
"572","productive","positive",1
"573","promise","positive",1
"574","promising","positive",1
"575","proud","positive",1
"576","prudent","positive",1
"577","quicker","positive",1
"578","raging","negative",1
"579","rant","negative",1
"580","rape","negative",1
"581","readily","positive",1
"582","recession","negative",1
"583","reckless","negative",1
"584","recommendations","positive",1
"585","recommended","positive",1
"586","recover","positive",1
"587","redemption","positive",1
"588","reform","positive",1
"589","refusing","negative",1
"590","refute","negative",1
"591","regal","positive",1
"592","relentless","negative",1
"593","repression","negative",1
"594","resistance","negative",1
"595","respect","positive",1
"596","respectful","positive",1
"597","restricted","negative",1
"598","restriction","negative",1
"599","ridiculously","negative",1
"600","risks","negative",1
"601","rude","negative",1
"602","sack","negative",1
"603","safely","positive",1
"604","sarcasm","negative",1
"605","satisfy","positive",1
"606","satisfying","positive",1
"607","savings","positive",1
"608","scam","negative",1
"609","scars","negative",1
"610","scary","negative",1
"611","scrambles","negative",1
"612","scum","negative",1
"613","sham","negative",1
"614","shameful","negative",1
"615","sharp","positive",1
"616","shock","negative",1
"617","shun","negative",1
"618","silly","negative",1
"619","sin","negative",1
"620","skeletons","negative",1
"621","slower","negative",1
"622","smarter","positive",1
"623","sophisticated","positive",1
"624","spite","negative",1
"625","spoiled","negative",1
