"","word"
"1","america"
"2","wake"
"3","tf"
"4","realize"
"5","countries"
"6","economies"
"7","didn’t"
"8","collapse"
"9","lockdown"
"10","y’all"
"11","realize"
"12","america"
"13","doesn’t"
"14","single"
"15","fuck"
"16","it’s"
"17","people"
"18","lockdown"
"19","3"
"20","damn"
"21","america"
"22","1"
"23","ain’t"
"24","shit"
"25","vmtv"
"26","cooper_m"
"27","leovaradkar"
"28","no1"
"29","enforce"
"30","people"
"31","stop"
"32","travelling"
"33","live"
"34","democracy"
"35","dictatorship"
"36","hope"
"37","people"
"38","common"
"39","sense"
"40","won’t"
"41","travel"
"42","called"
"43","taoiseach"
"44","plans"
"45","america"
"46","you’re"
"47","rebellion"
"48","lockdown"
"49","corksredfm"
"50","he’ll"
"51","america"
"52","lockdown"
"53","extended"
"54","til"
"55","easter"
"56","what’s"
"57","betting"
"58","clown"
"59","fly"
"60","america"
"61","we’re"
"62","told"
"63","lockdown"
"64","continue"
"65","til"
"66","easter"
"67","lockdown"
"68","clueless"
"69","mehole"
"70","lockdown2032"
"71","covid19ireland"
"72","spoke"
"73","colleague"
"74","north"
"75","america"
"76","14"
"77","month"
"78","decided"
"79","send"
"80","daycare"
"81","lockdown"
"82","daughter's"
"83","life"
"84","played"
"85","kids"
"86","mum"
"87","terrified"
"88","exhausted"
"89","idea"
"90","lucky"
"91","nz"
"92","sabivm"
"93","uoft_dlsph"
"94","dfisman"
"95","ontario"
"96","strictest"
"97","lockdown"
"98","restrictions"
"99","north"
"100","america"
"101","jim_krug"
"102","leap"
"103","800,000"
"104","children"
"105","missing"
"106","america"
"107","lose"
"108","20,000"
"109","australia"
"110","melbourne's"
"111","lockdown"
"112","tunnels"
"113","found"
"114","trafficking"
"115","children"
"116","worldwide"
"117","massive"
"118","everchelle"
"119","ah"
"120","doubt"
"121","country"
"122","compare"
"123","america's"
"124","aversion"
"125","socialism"
"126","heard"
"127","marcus"
"128","rashford"
"129","single"
"130","handedly"
"131","secured"
"132","school"
"133","meals"
"134","children"
"135","poverty"
"136","lockdown"
"137","footballer"
"138","jenneraub"
"139","scotgov"
"140","florida"
"141","red"
"142","biden"
"143","democrats"
"144","lockdown"
"145","enthusiasts"
"146","office"
"147","america"
"148","democratic"
"149","lockdown"
"150","3<U+FE0F><U+20E3>"
"151","zoom"
"152","series"
"153","george"
"154","margesson"
"155","guided"
"156","trip"
"157","alaska"
"158","2012"
"159","climb"
"160","denali"
"161","peak"
"162","north"
"163","america"
"164","6,200m"
"165","tues"
"166","2nd"
"167","feb"
"168","8<U+FE0F><U+20E3>pm"
"169","joining"
"170","details"
"171","follow"
"172","email"
"173","forum"
"174","defnoodles"
"175","jake"
"176","grip"
"177","america"
"178","3rd"
"179","lockdown"
"180","variant"
"181","covid"
"182","shut"
"183","essentials"
"184","reason"
"185","stupid"
"186","fight"
"187","publicity"
"188","there’s"
"189","literally"
"190","entire"
"191","countries"
"192","sort"
"193","lockdown"
"194","i’m"
"195","lack"
"196","empathy"
"197","lack"
"198","compassion"
"199","lack"
"200","critical"
"201","thinking"
"202","skills"
"203","individuals"
"204","run"
"205","country"
"206","fucking"
"207","disgusting"
"208","shitty"
"209","america"
"210","treats"
"211","people"
"212","maureenstroud"
"213","jhnhellstrom"
"214","35"
"215","degrees"
"216","latitudes"
"217","seasonality"
"218","relevant"
"219","europe"
"220","north"
"221","america"
"222","south"
"223","africa"
"224","sit"
"225","tropical"
"226","mistake"
"227","country"
"228","europe"
"229","lockdown"
"230","summer"
"231","bayer04_en"
"232","celticfc"
"233","flew"
"234","hooker"
"235","america"
"236","lockdown"
"237","shag"
"238","zealand"
"239","closed"
"240","borders"
