"","screen_name","text","After"
"1","BaldBailee","Can America wake tf up and realize that other countries economies didn’t collapse when they went into a full lockdown and can y’all realize that America doesn’t give a single fuck about it’s people??","Can America wake tf up and realize that other countries economies didn’t collapse when they went into a full lockdown and can y’all realize that America doesn’t give a single fuck about it’s people??"
"2","xoAMAC","Lockdown 3? Damn America was 1 and done. We ain’t shit <U+0001F62D> https://t.co/rHVak0RlVD","Lockdown 3? Damn America was 1 and done. We ain’t shit <U+0001F62D> "
"3","Mammyto3loons","#vmtv @cooper_m @LeoVaradkar no1 can enforce people to stop travelling- we live in a democracy not a dictatorship. Should we hope people with common sense won’t travel- yes we do but when the so called #Taoiseach has plans to go America, you’re asking for a rebellion #lockdown","#vmtv @cooper_m @LeoVaradkar no1 can enforce people to stop travelling- we live in a democracy not a dictatorship. Should we hope people with common sense won’t travel- yes we do but when the so called #Taoiseach has plans to go America, you’re asking for a rebellion #lockdown"
"4","Mammyto3loons","@CorksRedFM He’ll be in America while they tell us lockdown will be extended til after Easter.....","@CorksRedFM He’ll be in America while they tell us lockdown will be extended til after Easter....."
"5","Mammyto3loons","What’s the betting this clown will still fly to America while we’re being told that the lockdown will actually continue til after Easter??? #lockdown #clueless #Mehole #lockdown2032 #COVID19ireland https://t.co/fn3mRceg4y","What’s the betting this clown will still fly to America while we’re being told that the lockdown will actually continue til after Easter??? #lockdown #clueless #Mehole #lockdown2032 #COVID19ireland "
"6","fizzanddumpling","Just spoke to a colleague in North America who has a 14 month old. She's decided to send her to daycare; they've been in lockdown nearly all her daughter's life, she's never played with other kids. Mum is terrified and exhausted.
We have no idea how lucky we are NZ","Just spoke to a colleague in North America who has a 14 month old. She's decided to send her to daycare; they've been in lockdown nearly all her daughter's life, she's never played with other kids. Mum is terrified and exhausted.
We have no idea how lucky we are NZ"
"7","modernmysticmom","@SabiVM @UofT_dlsph @DFisman Hence why Ontario has the strictest lockdown restrictions of North America","@SabiVM @UofT_dlsph @DFisman Hence why Ontario has the strictest lockdown restrictions of North America"
"8","PhillipJwood1","@jim_krug I KNOW EXACTLY WHAT IT'S FOR ITS NO LEAP AT ALL WE KNOW 800,000 CHILDREN GO MISSING IN AMERICA EVERY YEAR WHERE DO YOU THINK THEY GO WE LOSE 20,000 HERE IN AUSTRALIA MELBOURNE'S LOCKDOWN THEY GOT TUNNELS THEY FOUND EVERYWHERE FOR TRAFFICKING CHILDREN IT'S WORLDWIDE IT'S MASSIVE","@jim_krug I KNOW EXACTLY WHAT IT'S FOR ITS NO LEAP AT ALL WE KNOW 800,000 CHILDREN GO MISSING IN AMERICA EVERY YEAR WHERE DO YOU THINK THEY GO WE LOSE 20,000 HERE IN AUSTRALIA MELBOURNE'S LOCKDOWN THEY GOT TUNNELS THEY FOUND EVERYWHERE FOR TRAFFICKING CHILDREN IT'S WORLDWIDE IT'S MASSIVE"
"9","morpholomeg","@everchelle Ah. I mean, I doubt any country can compare to America's aversion to socialism, but have you heard of Marcus Rashford? He's almost single-handedly secured school meals for children in poverty during lockdown.

He's a footballer.","@everchelle Ah. I mean, I doubt any country can compare to America's aversion to socialism, but have you heard of Marcus Rashford? He's almost single-handedly secured school meals for children in poverty during lockdown.

He's a footballer."
"10","World_of_clowns","@jenneraub @scotgov I know Florida is a Red state, but it wasn't the point i was making. Biden and the democrats were lockdown enthusiasts yet now he's in office America is opening up, democratic states too.","@jenneraub @scotgov I know Florida is a Red state, but it wasn't the point i was making. Biden and the democrats were lockdown enthusiasts yet now he's in office America is opening up, democratic states too."
"11","avonmtnclub","The second in our lockdown 3<U+FE0F><U+20E3> zoom series will from George Margesson about his self-guided trip to Alaska in 2012 to climb Denali, the highest peak in North America at 6,200m. <U+0001F3D4><U+0001F976><U+0001F9CA><U+0001F9D7><U+200D><U+2642><U+FE0F>

Tues 2nd Feb @ 8<U+FE0F><U+20E3>pm - joining details to follow via email/forum <U+0001F4BB> <U+0001F399><U+0001F30D> <U+0001F64C><U+0001F3FC> https://t.co/edG3iCNEVy","The second in our lockdown 3<U+FE0F><U+20E3> zoom series will from George Margesson about his self-guided trip to Alaska in 2012 to climb Denali, the highest peak in North America at 6,200m. <U+0001F3D4><U+0001F976><U+0001F9CA><U+0001F9D7><U+200D><U+2642><U+FE0F>

Tues 2nd Feb @ 8<U+FE0F><U+20E3>pm - joining details to follow via email/forum <U+0001F4BB> <U+0001F399><U+0001F30D> <U+0001F64C><U+0001F3FC> "
"12","mariamcax","@defnoodles Jake needs to get a grip, does America NOT know we are in our 3rd lockdown with a SECOND variant of covid? Everything is shut and no one goes out unless for essentials? That seems like a very good reason not to do another stupid fight for publicity","@defnoodles Jake needs to get a grip, does America NOT know we are in our 3rd lockdown with a SECOND variant of covid? Everything is shut and no one goes out unless for essentials? That seems like a very good reason not to do another stupid fight for publicity"
"13","onyxs0uls","there’s literally ENTIRE COUNTRIES still in a sort of lockdown. AFTER A YEAR. i’m so over the lack of empathy, lack of compassion and lack of critical thinking skills in the individuals who run this country. truly fucking disgusting how shitty america treats their people.","there’s literally ENTIRE COUNTRIES still in a sort of lockdown. AFTER A YEAR. i’m so over the lack of empathy, lack of compassion and lack of critical thinking skills in the individuals who run this country. truly fucking disgusting how shitty america treats their people."
"14","aboz2","@MaureenStroud @jhnhellstrom Above 35 degrees latitudes seasonality becomes relevant as we have seen in Europe and North America. South Africa sit in a tropical area. Make no mistake, no country in Europe was in lockdown during summer","@MaureenStroud @jhnhellstrom Above 35 degrees latitudes seasonality becomes relevant as we have seen in Europe and North America. South Africa sit in a tropical area. Make no mistake, no country in Europe was in lockdown during summer"
"15","FollowFollowGru","@bayer04_en @CelticFC He flew a hooker in from America during lockdown, then didn't shag her. I mean, who does that.","@bayer04_en @CelticFC He flew a hooker in from America during lockdown, then didn't shag her. I mean, who does that."
"16","schraderism","New Zealand has closed borders. Freedom of movement is a basic human right—NZ is still in “lockdown.”

The media praises Ardern as a warrior in the global pandemic fight, when in actuality her country is hiding, waiting for America to save the world.

https://t.co/eC2FNNFM8O","New Zealand has closed borders. Freedom of movement is a basic human right—NZ is still in “lockdown.”

The media praises Ardern as a warrior in the global pandemic fight, when in actuality her country is hiding, waiting for America to save the world.

"
"17","SamWhit37845181","2. Not the Bee! If 2 masks are good, 3 masks are better, CNBC claims – echoing notorious satire site . #WearAMask 
#mask #maskoff  #lockdown  https://t.co/ZmBZEC5TE4 They are trying to mock and humiliate our intelligence s..when will you say ENOUGH! America- American's","2. Not the Bee! If 2 masks are good, 3 masks are better, CNBC claims – echoing notorious satire site . #WearAMask 
#mask #maskoff  #lockdown   They are trying to mock and humiliate our intelligence s..when will you say ENOUGH! America- American's"
"18","SamWhit37845181","#Holocaust happening across the world now with #lockdown causing stress,pain deaths.
Many in comfortable situation unable,unwilling to see it for what it is.#CovidVaccines killing people daily as people believe after the jab they can go back to normal.
PDF https://t.co/nLumaODJaj https://t.co/JhSVHYJdlp","#Holocaust happening across the world now with #lockdown causing stress,pain deaths.
Many in comfortable situation unable,unwilling to see it for what it is.#CovidVaccines killing people daily as people believe after the jab they can go back to normal.
PDF  "
"19","SamWhit37845181","#CDC-wonder reports to VAERS of #CovidVaccine Vaccine DEATHS up to 22/1/2021 #UnitedStates of #America  #lockdown #mask #Covidtesting #isolation 
#Moderna #Pfizer #Quarantine #knowledge #information 
#Covid19 #CovidVaccine #AmericaFirst #politics #crimes

https://t.co/3ip67w5LeY","#CDC-wonder reports to VAERS of #CovidVaccine Vaccine DEATHS up to 22/1/2021 #UnitedStates of #America  #lockdown #mask #Covidtesting #isolation 
#Moderna #Pfizer #Quarantine #knowledge #information 
#Covid19 #CovidVaccine #AmericaFirst #politics #crimes

"
