"","word"
"1","cnn"
"2","fox"
"3","nbc"
"4","chinese"
"5","military"
"6","mobilization"
"7","violence"
"8","lockdown"
"9","day"
"10","army"
"11","personnel"
"12","wearing"
"13","hazmat"
"14","suits"
"15","patrolling"
"16","streets"
"17","america"
"18","michealmartintd"
"19","people"
"20","arriving"
"21","america"
"22","lockdown"
"23","flights"
"24","stopped"
"25","comment"
"26","easy"
"27","blame"
"28","irish"
"29","people"
"30","america"
"31","restaurants"
"32","bars"
"33","schools"
"34","closed"
"35","canada"
"36","québec"
"37","total"
"38","lockdown"
"39","restaurants"
"40","bars"
"41","stores"
"42","closed"
"43","grocery"
"44","8"
"45","pm"
"46","curfew"
"47","schools"
"48","priorities"
"49","honestly"
"50","fuck"
"51","trump"
"52","letting"
"53","should’ve"
"54","lockdown"
"55","america"
"56","caught"
"57","mkevane"
"58","claireadida"
"59","reason"
"60","covid"
"61","capital"
"62","america"
"63","remember"
"64","june"
"65","forced"
"66","openings"
"67","daily"
"68","3k"
"69","astounding"
"70","20k"
"71","day"
"72","climbing"
"73","removes"
"74","lockdown"
"75","appease"
"76","business"
"77","office"
"78","america"
"79","lockdown"
"80","10"
"81","months"
"82","strong"
"83","ozone"
"84","layer"
"85","close"
"86","lockdown"
"87","research"
"88","joe"
"89","talks"
"90","climate"
"91","change"
"92","priority"
"93","america"
"94","wake"
"95","tf"
"96","realize"
"97","countries"
"98","economies"
"99","didn’t"
"100","collapse"
"101","lockdown"
"102","y’all"
"103","realize"
"104","america"
"105","doesn’t"
"106","single"
"107","fuck"
"108","it’s"
"109","people"
"110","lockdown"
"111","3"
"112","damn"
"113","america"
"114","1"
"115","ain’t"
"116","shit"
"117","vmtv"
"118","cooper_m"
"119","leovaradkar"
"120","no1"
"121","enforce"
"122","people"
"123","stop"
"124","travelling"
"125","live"
"126","democracy"
"127","dictatorship"
"128","hope"
"129","people"
"130","common"
"131","sense"
"132","won’t"
"133","travel"
"134","called"
"135","taoiseach"
"136","plans"
"137","america"
"138","you’re"
"139","rebellion"
"140","lockdown"
"141","corksredfm"
"142","he’ll"
"143","america"
"144","lockdown"
"145","extended"
"146","til"
"147","easter"
"148","what’s"
"149","betting"
"150","clown"
"151","fly"
"152","america"
"153","we’re"
"154","told"
"155","lockdown"
"156","continue"
"157","til"
"158","easter"
"159","lockdown"
"160","clueless"
"161","mehole"
"162","lockdown2032"
"163","covid19ireland"
"164","spoke"
"165","colleague"
"166","north"
"167","america"
"168","14"
"169","month"
"170","decided"
"171","send"
"172","daycare"
"173","lockdown"
"174","daughter's"
"175","life"
"176","played"
"177","kids"
"178","mum"
"179","terrified"
"180","exhausted"
"181","idea"
"182","lucky"
"183","nz"
"184","sabivm"
"185","uoft_dlsph"
"186","dfisman"
"187","ontario"
"188","strictest"
"189","lockdown"
"190","restrictions"
"191","north"
"192","america"
"193","jim_krug"
"194","leap"
"195","800,000"
"196","children"
"197","missing"
"198","america"
"199","lose"
"200","20,000"
"201","australia"
"202","melbourne's"
"203","lockdown"
"204","tunnels"
"205","found"
"206","trafficking"
"207","children"
"208","worldwide"
"209","massive"
"210","everchelle"
"211","ah"
"212","doubt"
"213","country"
"214","compare"
"215","america's"
"216","aversion"
"217","socialism"
"218","heard"
"219","marcus"
"220","rashford"
"221","single"
"222","handedly"
"223","secured"
"224","school"
"225","meals"
"226","children"
"227","poverty"
"228","lockdown"
"229","footballer"
"230","jenneraub"
"231","scotgov"
"232","florida"
"233","red"
"234","biden"
"235","democrats"
"236","lockdown"
"237","enthusiasts"
"238","office"
"239","america"
"240","democratic"
"241","lockdown"
"242","3<U+FE0F><U+20E3>"
"243","zoom"
"244","series"
"245","george"
"246","margesson"
"247","guided"
"248","trip"
"249","alaska"
"250","2012"
"251","climb"
"252","denali"
"253","peak"
"254","north"
"255","america"
"256","6,200m"
"257","tues"
"258","2nd"
"259","feb"
"260","8<U+FE0F><U+20E3>pm"
"261","joining"
"262","details"
"263","follow"
"264","email"
"265","forum"
"266","defnoodles"
"267","jake"
"268","grip"
"269","america"
"270","3rd"
"271","lockdown"
"272","variant"
"273","covid"
"274","shut"
"275","essentials"
"276","reason"
"277","stupid"
"278","fight"
"279","publicity"
"280","there’s"
"281","literally"
"282","entire"
"283","countries"
"284","sort"
"285","lockdown"
"286","i’m"
"287","lack"
"288","empathy"
"289","lack"
"290","compassion"
"291","lack"
"292","critical"
"293","thinking"
"294","skills"
"295","individuals"
"296","run"
"297","country"
"298","fucking"
"299","disgusting"
"300","shitty"
"301","america"
"302","treats"
"303","people"
"304","maureenstroud"
"305","jhnhellstrom"
"306","35"
"307","degrees"
"308","latitudes"
"309","seasonality"
"310","relevant"
"311","europe"
"312","north"
"313","america"
"314","south"
"315","africa"
"316","sit"
"317","tropical"
"318","mistake"
"319","country"
"320","europe"
"321","lockdown"
"322","summer"
"323","bayer04_en"
"324","celticfc"
"325","flew"
"326","hooker"
"327","america"
"328","lockdown"
"329","shag"
"330","zealand"
"331","closed"
"332","borders"
"333","freedom"
"334","movement"
"335","basic"
"336","human"
"337","nz"
"338","lockdown"
"339","media"
"340","praises"
"341","ardern"
"342","warrior"
"343","global"
"344","pandemic"
"345","fight"
"346","actuality"
"347","country"
"348","hiding"
"349","waiting"
"350","america"
"351","save"
"352","world"
"353","2"
"354","bee"
"355","2"
"356","masks"
"357","3"
"358","masks"
"359","cnbc"
"360","claims"
"361","echoing"
"362","notorious"
"363","satire"
"364","site"
"365","wearamask"
"366","mask"
"367","maskoff"
"368","lockdown"
"369","mock"
"370","humiliate"
"371","intelligence"
"372","america"
"373","american's"
"374","holocaust"
"375","happening"
"376","world"
"377","lockdown"
"378","causing"
"379","stress"
"380","pain"
"381","deaths"
"382","comfortable"
"383","situation"
"384","unable"
"385","unwilling"
"386","covidvaccines"
"387","killing"
"388","people"
"389","daily"
"390","people"
"391","jab"
"392","normal"
"393","pdf"
"394","cdc"
"395","reports"
"396","vaers"
"397","covidvaccine"
"398","vaccine"
"399","deaths"
"400","22"
"401","1"
"402","2021"
"403","unitedstates"
"404","america"
"405","lockdown"
"406","mask"
"407","covidtesting"
"408","isolation"
"409","moderna"
"410","pfizer"
"411","quarantine"
"412","knowledge"
"413","information"
"414","covid19"
"415","covidvaccine"
"416","americafirst"
"417","politics"
"418","crimes"
"419","alanvibe"
"420","countries"
"421","america"
"422","thriving"
"423","lockdown"
"424","likewise"
"425","countries"
"426","locked"
"427","hard"
"428","plan"
"429","total"
"430","shambles"
"431","released"
"432","visited"
"433","america"
"434","i’ve"
"435","craving"
"436","bran"
"437","muffin"
"438","lockdown"
"439","i’ve"
"440","looked"
"441","haven’t"
"442","found"
"443","tonight"
"444","cracked"
"445","clairewynarczyk"
"446","lockdown"
"447","english"
"448","nationals"
"449","quarantine"
"450","south"
"451","america"
"452","lot"
"453","africa"
"454","countries"
"455","portugal"
"456","don’t"
"457","it’s"
"458","lockdown"
"459","rules"
"460","broken"
"461","don’t"
"462","rules"
"463","america"
"464","judevickers"
"465","squierbassvi"
"466","yaraalkhamis"
"467","kemz_1"
"468","country"
"469","sweden"
"470","lockdown"
"471","uk"
"472","america"
"473","potus"
"474","president"
"475","incredibly"
"476","divisive"
"477","harmful"
"478","tar"
"479","feather"
"480","america"
"481","fix"
"482","structural"
"483","racism"
"484","damned"
"485","schools"
"486","lockdown"
"487","biden"
"488","pro"
"489","racism"
"490","failing"
"491","demand"
"492","lockdowns"
"493","nolockdowns"
