"","screen_name","text","After"
"1","TerranceKendal3","At this last year on Cnn, Fox, Nbc...
We saw the Chinese military MOBILIZATION, there was no need for violence. LOCKDOWN EVERYTHING...

And I thought, any day now, Army personnel wearing HAZMAT suits, will be patrolling the Streets of America. https://t.co/lbrm8MBUcu","At this last year on Cnn, Fox, Nbc...
We saw the Chinese military MOBILIZATION, there was no need for violence. LOCKDOWN EVERYTHING...

And I thought, any day now, Army personnel wearing HAZMAT suits, will be patrolling the Streets of America. "
"2","JinkyRinky","@MichealMartinTD What about the people arriving from America since the first lockdown???? Flights from there never stopped. Any comment?? Or is it too easy to blame the Irish people?","@MichealMartinTD What about the people arriving from America since the first lockdown???? Flights from there never stopped. Any comment?? Or is it too easy to blame the Irish people?"
"3","EgyGoddessCleo2","America has restaurants and bars open but schools closed.... Canada ( Québec) we have a total lockdown restaurants, bars, stores and everything is closed except grocery... and a 8 pm curfew but schools are OPEN ! #priorities","America has restaurants and bars open but schools closed.... Canada ( Québec) we have a total lockdown restaurants, bars, stores and everything is closed except grocery... and a 8 pm curfew but schools are OPEN ! #priorities"
"4","PrinceNoirCos","Honestly fuck Trump for letting us get it this point, we should’ve went into Lockdown the very second someone in America caught it <U+0001F643>","Honestly fuck Trump for letting us get it this point, we should’ve went into Lockdown the very second someone in America caught it <U+0001F643>"
"5","adamllui","@mkevane @ClaireAdida He's the reason we're even the COVID capital of America. Remember back in June, before he forced re-openings? Our daily cases were under 3K. We're at an astounding 20K+/day and climbing now, as he removes lockdown yet again to appease business interests that put him in office...","@mkevane @ClaireAdida He's the reason we're even the COVID capital of America. Remember back in June, before he forced re-openings? Our daily cases were under 3K. We're at an astounding 20K+/day and climbing now, as he removes lockdown yet again to appease business interests that put him in office..."
"6","mtj4728","America was on lockdown for about 10 months strong. The ozone layer was able to close b/c of the lockdown.  Do your own research. So when Joe B. Talks about Climate Change. I got it, but why is C/c a priority right now??? https://t.co/d4SclpLwY2","America was on lockdown for about 10 months strong. The ozone layer was able to close b/c of the lockdown.  Do your own research. So when Joe B. Talks about Climate Change. I got it, but why is C/c a priority right now??? "
"7","BaldBailee","Can America wake tf up and realize that other countries economies didn’t collapse when they went into a full lockdown and can y’all realize that America doesn’t give a single fuck about it’s people??","Can America wake tf up and realize that other countries economies didn’t collapse when they went into a full lockdown and can y’all realize that America doesn’t give a single fuck about it’s people??"
"8","xoAMAC","Lockdown 3? Damn America was 1 and done. We ain’t shit <U+0001F62D> https://t.co/rHVak0RlVD","Lockdown 3? Damn America was 1 and done. We ain’t shit <U+0001F62D> "
"9","Mammyto3loons","#vmtv @cooper_m @LeoVaradkar no1 can enforce people to stop travelling- we live in a democracy not a dictatorship. Should we hope people with common sense won’t travel- yes we do but when the so called #Taoiseach has plans to go America, you’re asking for a rebellion #lockdown","#vmtv @cooper_m @LeoVaradkar no1 can enforce people to stop travelling- we live in a democracy not a dictatorship. Should we hope people with common sense won’t travel- yes we do but when the so called #Taoiseach has plans to go America, you’re asking for a rebellion #lockdown"
"10","Mammyto3loons","@CorksRedFM He’ll be in America while they tell us lockdown will be extended til after Easter.....","@CorksRedFM He’ll be in America while they tell us lockdown will be extended til after Easter....."
"11","Mammyto3loons","What’s the betting this clown will still fly to America while we’re being told that the lockdown will actually continue til after Easter??? #lockdown #clueless #Mehole #lockdown2032 #COVID19ireland https://t.co/fn3mRceg4y","What’s the betting this clown will still fly to America while we’re being told that the lockdown will actually continue til after Easter??? #lockdown #clueless #Mehole #lockdown2032 #COVID19ireland "
"12","fizzanddumpling","Just spoke to a colleague in North America who has a 14 month old. She's decided to send her to daycare; they've been in lockdown nearly all her daughter's life, she's never played with other kids. Mum is terrified and exhausted.
We have no idea how lucky we are NZ","Just spoke to a colleague in North America who has a 14 month old. She's decided to send her to daycare; they've been in lockdown nearly all her daughter's life, she's never played with other kids. Mum is terrified and exhausted.
We have no idea how lucky we are NZ"
"13","modernmysticmom","@SabiVM @UofT_dlsph @DFisman Hence why Ontario has the strictest lockdown restrictions of North America","@SabiVM @UofT_dlsph @DFisman Hence why Ontario has the strictest lockdown restrictions of North America"
"14","PhillipJwood1","@jim_krug I KNOW EXACTLY WHAT IT'S FOR ITS NO LEAP AT ALL WE KNOW 800,000 CHILDREN GO MISSING IN AMERICA EVERY YEAR WHERE DO YOU THINK THEY GO WE LOSE 20,000 HERE IN AUSTRALIA MELBOURNE'S LOCKDOWN THEY GOT TUNNELS THEY FOUND EVERYWHERE FOR TRAFFICKING CHILDREN IT'S WORLDWIDE IT'S MASSIVE","@jim_krug I KNOW EXACTLY WHAT IT'S FOR ITS NO LEAP AT ALL WE KNOW 800,000 CHILDREN GO MISSING IN AMERICA EVERY YEAR WHERE DO YOU THINK THEY GO WE LOSE 20,000 HERE IN AUSTRALIA MELBOURNE'S LOCKDOWN THEY GOT TUNNELS THEY FOUND EVERYWHERE FOR TRAFFICKING CHILDREN IT'S WORLDWIDE IT'S MASSIVE"
"15","morpholomeg","@everchelle Ah. I mean, I doubt any country can compare to America's aversion to socialism, but have you heard of Marcus Rashford? He's almost single-handedly secured school meals for children in poverty during lockdown.

He's a footballer.","@everchelle Ah. I mean, I doubt any country can compare to America's aversion to socialism, but have you heard of Marcus Rashford? He's almost single-handedly secured school meals for children in poverty during lockdown.

He's a footballer."
"16","World_of_clowns","@jenneraub @scotgov I know Florida is a Red state, but it wasn't the point i was making. Biden and the democrats were lockdown enthusiasts yet now he's in office America is opening up, democratic states too.","@jenneraub @scotgov I know Florida is a Red state, but it wasn't the point i was making. Biden and the democrats were lockdown enthusiasts yet now he's in office America is opening up, democratic states too."
